Датум,Цена на последна трансакција,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари,Компанија,RSI_1,Stochastic_1,CCI_1,Momentum_1,DeMark_1,SMA_1,EMA_1,WMA_1,SMMA_1,VWMA_1,Signal_1,RSI_7,Stochastic_7,CCI_7,Momentum_7,DeMark_7,SMA_7,EMA_7,WMA_7,SMMA_7,VWMA_7,Signal_7,RSI_30,Stochastic_30,CCI_30,Momentum_30,DeMark_30,SMA_30,EMA_30,WMA_30,SMMA_30,VWMA_30,Signal_30
2024-12-13,5328.0,5309.97,-0.34,71.0,377008,377008,OKTA,,,,0.0,,5328.0,5328.0,5328.0,5328.0,5328.0,Hold,0.0,0.0,-46.666666666666714,-591.0,,5496.857142857143,5468.247057653425,5391.321428571428,5601.419035265184,5328.0,Buy,0.0,0.0,-200.0,-591.0,,5820.5,5749.113455987543,5741.064516129032,5791.3341129372275,5328.0,Buy
2024-12-16,5328.0,5309.97,0.0,0.0,0,0,OKTA,,,,0.0,,5328.0,5328.0,5328.0,5328.0,,Hold,0.0,0.0,-38.88888888888892,-591.0,,5412.428571428572,5433.185293240069,5349.107142857143,5562.359173084443,5328.0,Buy,0.0,0.0,-166.66666666666683,-591.0,,5800.8,5721.944845923831,5709.290322580645,5775.889642505986,5328.0,Buy
2024-12-17,5328.0,5309.97,0.0,0.0,0,0,OKTA,,,,0.0,,5328.0,5328.0,5328.0,5328.0,,Hold,0.0,,,-591.0,,5328.0,5406.888969930052,5328.0,5528.879291215237,5328.0,Hold,0.0,0.0,-142.85714285714312,-591.0,,5781.1,5696.529049412617,5678.787096774194,5760.959987755787,5328.0,Buy
2024-12-18,5328.0,5309.97,0.0,0.0,0,0,OKTA,,,,0.0,,5328.0,5328.0,5328.0,5328.0,,Hold,,,,0.0,,5328.0,5387.1667274475385,5328.0,5500.182249613061,5328.0,Hold,0.0,0.0,-124.9999999999998,-591.0,,5761.4,5672.752981708577,5649.554838709678,5746.527988163927,5328.0,Buy
2024-12-19,5328.0,5309.97,0.0,0.0,0,0,OKTA,,,,0.0,,5328.0,5328.0,5328.0,5328.0,,Hold,,,,0.0,,5328.0,5372.375045585653,5328.0,5475.584785382623,5328.0,Hold,0.0,0.0,-111.11111111111103,-591.0,,5741.7,5650.510853856411,5621.593548387097,5732.57705522513,5328.0,Buy
2024-12-20,5328.0,5309.97,0.0,0.0,0,0,OKTA,,,,0.0,,5328.0,5328.0,5328.0,5328.0,,Hold,,,,0.0,,5328.0,5361.28128418924,5328.0,5454.501244613676,5328.0,Hold,0.0,0.0,-100.0,-591.0,,5722.0,5629.703701994707,5594.903225806452,5719.091153384292,5328.0,Buy
2024-12-23,5328.0,5309.97,0.0,0.0,0,0,OKTA,,,,0.0,,5328.0,5328.0,5328.0,5328.0,,Hold,,,,0.0,,5328.0,5352.96096314193,5328.0,5436.4296382402945,5328.0,Hold,0.0,0.0,-90.90909090909096,-591.0,,5702.3,5610.238947027307,5569.4838709677415,5706.054781604816,5328.0,Buy
2024-12-24,5328.0,5309.97,0.0,0.0,0,0,OKTA,,,,0.0,,5328.0,5328.0,5328.0,5328.0,,Hold,,,,0.0,,5328.0,5346.720722356447,5328.0,5420.939689920253,,Hold,0.0,0.0,-83.33333333333343,-591.0,,5682.6,5592.029982702966,5545.335483870967,5693.452955551321,5328.0,Buy
2024-12-25,5199.0,5199.0,-2.09,5.0,25995,25995,OKTA,0.0,,,-129.0,,5199.0,5199.0,5199.0,5199.0,5199.0,Hold,0.0,0.0,-233.3333333333324,-129.0,,5309.571428571428,5309.7905417673355,5295.75,5389.234019931645,5199.0,Buy,0.0,0.0,-103.82217403090279,-720.0,,5658.6,5566.673209625355,5514.135483870968,5676.971190366277,5322.9609375,Buy
2024-12-26,5199.0,5199.0,0.0,0.0,0,0,OKTA,,,,0.0,,5199.0,5199.0,5199.0,5199.0,,Hold,0.0,0.0,-116.66666666666609,-129.0,,5291.142857142857,5282.092906325502,5268.107142857143,5362.057731369981,5199.0,Buy,0.0,0.0,-95.72784810126592,-720.0,,5634.6,5542.952357391461,5484.4838709677415,5661.038817354069,5322.9609375,Buy
